person_id,arrival_time,utility,decision,remaining_beds
5c7f80e8-4e7c-477a-b4ff-8de74947d478,684,0.29050843749229466,ACCEPTED,721
5c7f80e8-4e7c-477a-b4ff-8de74947d478,598,0.5665147724443771,ACCEPTED,720
5c7f80e8-4e7c-477a-b4ff-8de74947d478,221,0.933098873280165,ACCEPTED,719
5c7f80e8-4e7c-477a-b4ff-8de74947d478,255,0.9768769930725358,ACCEPTED,718
5c7f80e8-4e7c-477a-b4ff-8de74947d478,1,0.8101114234457464,ACCEPTED,717
5c7f80e8-4e7c-477a-b4ff-8de74947d478,780,0.7945536391990495,ACCEPTED,716
5c7f80e8-4e7c-477a-b4ff-8de74947d478,541,0.8534401559723656,ACCEPTED,715
5c7f80e8-4e7c-477a-b4ff-8de74947d478,11,0.07356273567573811,REJECTED,715
5c7f80e8-4e7c-477a-b4ff-8de74947d478,799,0.013570178187534152,REJECTED,715
5c7f80e8-4e7c-477a-b4ff-8de74947d478,39,0.9226376671433396,ACCEPTED,714
5c7f80e8-4e7c-477a-b4ff-8de74947d478,338,0.8823843073813838,ACCEPTED,713
5c7f80e8-4e7c-477a-b4ff-8de74947d478,40,0.8215154221481658,ACCEPTED,712
5c7f80e8-4e7c-477a-b4ff-8de74947d478,770,0.7537634292904098,ACCEPTED,711
5c7f80e8-4e7c-477a-b4ff-8de74947d478,34,0.6238002291257713,ACCEPTED,710
5c7f80e8-4e7c-477a-b4ff-8de74947d478,592,0.9042749518770026,ACCEPTED,709
5c7f80e8-4e7c-477a-b4ff-8de74947d478,663,0.8293032602162949,ACCEPTED,708
5c7f80e8-4e7c-477a-b4ff-8de74947d478,470,0.26076997704273924,ACCEPTED,707
5c7f80e8-4e7c-477a-b4ff-8de74947d478,295,0.49444688942664095,ACCEPTED,706
5c7f80e8-4e7c-477a-b4ff-8de74947d478,230,0.8287565477305733,ACCEPTED,705
5c7f80e8-4e7c-477a-b4ff-8de74947d478,328,0.9237515944462946,ACCEPTED,704
5c7f80e8-4e7c-477a-b4ff-8de74947d478,1093,0.15177684384285736,ACCEPTED,703
5c7f80e8-4e7c-477a-b4ff-8de74947d478,397,0.9326570270909753,ACCEPTED,702
5c7f80e8-4e7c-477a-b4ff-8de74947d478,118,0.7961267374497889,ACCEPTED,701
5c7f80e8-4e7c-477a-b4ff-8de74947d478,50,0.400811468066792,ACCEPTED,700
5c7f80e8-4e7c-477a-b4ff-8de74947d478,511,0.5822916112782046,ACCEPTED,699
